Data;Program
80001;Albania: Lower secondary education
80002;Albania: Upper secondary education
80003;Albania: Secondary education, vocational variant
80004;Albania: Secondary education,technical variant
80005;Albania: Secondary education for adults(upper)
80099;Albania: Missing
310001;Baku (Azerbaijan) : Lower secondary education
310002;Baku (Azerbaijan) : Upper secondary education
310003;Baku (Azerbaijan) : Post-secondary non-tertiary education
310004;Baku (Azerbaijan) : Short-cycle tertiary education
310099;Baku (Azerbaijan) : Missing
320001;Argentina: Primary - 7th year
320002;Argentina: General Programme - Lower  Secondary  (1st, 2nd and 3rd year)
320003;Argentina: General Programme - Upper  Secondary  (4th, 5th and  6th year)
320004;Argentina: Vocational Programme - Lower  Secondary  (1st, 2nd and 3rd year)
320005;Argentina: Vocational programme - Upper  Secondary  (4th, 5th, 6th  and 7th year)
320006;Argentina: General Programme - Lower  Secondary  (1st  and 2nd year)
320007;Argentina: General Programme - Upper  Secondary  (3th, 4th and 5th year)
320008;Argentina: Vocational Programme - Lower  Secondary  (1st and 2nd year)
320009;Argentina: Vocational programme - Upper  Secondary  (3th, 4th , 5th and 6th   year)
320010;Argentina: Adults Primary Programme (3th and 4th year)
320011;Argentina: Adults Lower Secondary Programme (1st, 2nd and 3rd year)
320012;Argentina: Adults Upper Secondary Programme   (4th, 5th and  6th year)
320013;Argentina: Adults Lower Secondary Programme (1st and 2nd year)
320014;Argentina: Adults Upper Secondary Programme (3th, 4th and 5th year)
320015;Argentina: Pre-vocational programme for Adults
320099;Argentina: Missing
360001;Australia: Lower secondary general academic
360002;Australia: Lower secondary  with some VET subjects
360003;Australia: Upper secondary general academic
360004;Australia: Upper secondary with some VET subjects
360005;Australia: Upper secondary VET course
360099;Australia: Missing
400001;Austria: Upper Primary school
400002;Austria: New Secondary school/Lower Secondary school
400003;Austria: Pre-vocational school (grade 7-8)
400004;Austria: Pre-vocational school (grade 9)
400005;Austria: Special education school (lower secondary)
400006;Austria: Special eduction school (upper secondary)
400007;Austria: Academic secondary school lower level
400008;Austria: Academic secondary school upper level
400009;Austria: Lower Secondary school
400010;Austria: Upper Secondary school
400011;Austria: Vocational school for apprentices
400012;Austria: Intermediate technical and vocational school (3 and 4 years)
400013;Austria: Intermediate technical and vocational school (1 and 2 years)
400014;Austria: Intermediate technical and vocational school (agricultural 1 year)
400015;Austria: Higher technical and vocational college (grade 9-11)
400016;Austria: Higher technical and vocational college (grade 12-13)
400017;Austria: Higher vocational college
400099;Austria: Missing
560001;Belgium: (First year A of first stage of) secondary Education
560002;Belgium: (First year B of first stage of secondary  Education) – Remedial/Prevocationa
